Location_ID,DBA Name,Street_Address,City,State,Zip_Code,latitude,longitude
0015813-02-999,KOHLER CO,1652 W. TEXAS ST 227,SAN RAMON,CA,94583, -121.95957822599996,37.754979999000057
0015830-01-001,FONG JACK LEE & DOROTHY D,575 COLUMBUS AVE,San Francisco,CA,94133, -122.41007539999998,37.800216103000025
0015830-02-001,FONG JACK LEE & DOROTHY D,131 JASPER PL,San Francisco,CA,94133, -122.40847257599995,37.801004264000028
0015830-03-001,FONG JACK LEE & DOROTHY D,3428 19TH ST,San Francisco,CA,94110,"0033, -122.420091034","110
37.76020772600"
0015830-04-001,FONG JACK LEE & DOROTHY D,3800 18TH ST,San Francisco,CA,94114, -122.42855108699996,37.761318526000025
0015830-05-001,FONG JACK LEE & DOROTHY D,701 UNION ST,San Francisco,CA,94133, -122.41102487999996,37.800183839000056
0015830-06-001,FONG JACK LEE & DOROTHY D,2439 LOMBARD ST,San Francisco,CA,94123, -122.44171590699995,37.799093780000078
0015835-01-001,KONWAL CO INC,559 SIXTH ST,San Francisco,CA,94103, -122.40164069699995,37.775404019000064
0015889-05-001,200 LEAVENWORTH BLDG,200 LEAVENWORTH ST,San Francisco,CA,94102, -122.41404616299997,37.782997556000055
0015889-06-001,771-775 OFARRELL BLDG,771 OFARRELL ST,San Francisco,CA,94109, -122.41740803599998,37.785211209000067
0015889-07-001,1034-1036 GEARY BLDG,1034 GEARY ST,San Francisco,CA,94109, -122.42039293199997,37.785848301000044
0015889-08-001,4041-4045 JUDAH BLDG,4041 JUDAH ST,San Francisco,CA,94122, -122.50554770999997,37.760412832000043
0015889-09-001,4001-4005 JUDAH ST BUILDING,4001 JUDAH ST,San Francisco,CA,94122, -122.50501765999996,37.760433573000057
0015889-10-001,2985 MISSION ST BUILDING,2985 MISSION ST,San Francisco,CA,94110, -122.41813445899999,37.749393561000034
0015889-12-001,3410-3420 JUDAH ST BLDG,3410 JUDAH ST,San Francisco,CA,94122, -122.49879072899995,37.760767735000059
0015889-13-001,324 HYDE ST APTS,324 HYDE ST,San Francisco,CA,94109, -122.41592553499999,37.783887117000063
0015889-14-001,1858 19TH AVE APTS,1858 19TH AVE,San Francisco,CA,94122, -122.47632469099995,37.753132716000039
0015889-15-001,728 PACIFIC AVE,728 PACIFIC AVE,San Francisco,CA,94133, -122.40738251799996,37.796888313000068
0015889-16-001,812 MONTEREY BLVD,812 MONTEREY BLVD,San Francisco,CA,94127, -122.45384021599995,37.731548173000078
0015891-01-001,KPIX,855 BATTERY ST,San Francisco,CA,94111, -122.40116365299997,37.799084562000075
0015900-01-001,HERBST FOUNDATION INC,30 VAN NESS AVE,San Francisco,CA,94102, -122.41936624799996,37.775897195000027
0015901-01-001,KRAMER BLUM & ASSOC INC,57 POST ST 510,San Francisco,CA,94104, -122.40306606999997,37.788953700000036
0015935-01-001,KROLL FURNITURE,1810 HARRISON ST,San Francisco,CA,94103, -122.41343430199998,37.76844654
0015979-01-001,KUNGS TRADING CO INC,1339 FOLSOM ST,San Francisco,CA,94103, -122.41203505099998,37.773409423000032
0015980-01-001,KUNIN R A,2698 PACIFIC AVE,San Francisco,CA,94115, -122.43944245499995,37.792778124000051
0016288-02-001,5172/5174 MISSION BLDG,5172 MISSION ST,San Francisco,CA,94112, -122.44151195299997,37.715892120000035
0016288-03-001,LANK & WOODS,5172 MISSION ST,San Francisco,CA,94112, -122.44151195299997,37.715892120000035
0016315-01-001,LARKINS BROS TIRE CO,370 SO VAN NESS AVE,San Francisco,CA,94103, -122.41771387599999,37.76722743
0016366-01-001,LATCH TILE INC,1314 DONNER ST,San Francisco,CA,94124, -122.38857497399999,37.72134587
0016449-01-001,LAW CHAMBERS BLDG,345 FRANKLIN ST 203,San Francisco,CA,94102, -122.42149336099999,37.777753521000079
0016449-02-001,HALLINAN POPLACK & LEVINE,345 FRANKLIN ST,San Francisco,CA,94102, -122.42149336099999,37.777753521000079
0016453-01-001,LAWLER & LAWLER,50 FRANCISCO ST 118,San Francisco,CA,94133, -122.40621453599999,37.80560629
0016453-02-001,LAWLER & LAWLER,1 POST ST 475,SAN FRANCISCO,CA,94104, -122.40211543699996,37.789082756000028
0016484-01-001,LAYNES JEWEL SHOP,1005 MARKET ST 6,San Francisco,CA,94103, -122.41041071399997,37.78211721
0016544-01-001,LEDERER W MD-BOTWIN A PHD INC,75 PALM AVE 3,San Francisco,CA,94118, -122.45799419199994,37.784328441000071
0016553-01-001,LEE ALFRED T,748 SACRAMENTO ST,San Francisco,CA,94108, -122.40549277499997,37.793507518000069
0016589-01-001,LEE PHILIP INSURANCE AGCY INC,2751 39TH AVE,San Francisco,CA,94116, -122.49668435799998,37.735538525000038
0016591-02-001,459 11TH AV APARTMENTS,459 11TH AVE,San Francisco,CA,94118, -122.46959421299999,37.779607543000054
0016639-01-001,ASSOCIATED HEATING OF SF,5786 MISSION ST,San Francisco,CA,94112, -122.45072259099999,37.709509159000049
0016680-01-001,NIKON INC,501 FOLSOM ST 400,San Francisco,CA,94105, -122.39463136699999,37.787157293000064
0016790-01-001,LEOS TIRE SHOP,2230 3RD ST,San Francisco,CA,94107, -122.38876394799996,37.761248236000029
0016790-02-001,BAY AREA TIRE,2230 3RD ST,San Francisco,CA,94107, -122.38876394799996,37.761248236000029
0016800-02-001,1547-1551 MASON ST APTS,1547 MASON ST,San Francisco,CA,94133, -122.41206308599999,37.797853925000027
0016827-02-001,FIESTA LAUNDROMAT,898 SO VAN NESS AVE,San Francisco,CA,94110, -122.41696374099996,37.758917170000075
0016858-01-001,LEVI STRAUSS & CO,1155 BATTERY ST,San Francisco,CA,94111, -122.40174324999998,37.801913414000069
0016858-01-005,LEVI STRAUSS & CO,151 UNION ST,San Francisco,CA,94111, -122.40190687399996,37.801353405000043
0016858-03-001,FACILITIES MANAGEMENT,1155 BATTERY ST,San Francisco,CA,94120, -122.40174730599995,37.801966533000041
0016858-04-001,LEVI STRAUSS & CO,140 CHESTNUT ST,San Francisco,CA,94111, -122.40579121599995,37.804728438000041
0016858-05-001,LEVI STRAUSS & CO,99 GREEN ST,San Francisco,CA,94111, -122.40106570899997,37.800473062000037
0016871-01-001,LEVIN SHELDON MD INC,3838 CALIFORNIA ST 412,San Francisco,CA,94118, -122.45763653399996,37.785904013000049
0016922-01-001,LEWIS & TAYLOR INC,440 BRYANT ST,San Francisco,CA,94107, -122.39458873299998,37.782353430000057
0016948-01-001,"MCGUINN,HILLSMAN,PALEFSKY-APC",535 PACIFIC AVE,San Francisco,CA,94133, -122.40388953899998,37.797249974000067
0017016-01-001,LIGHT SODA ON TAP,2291 PALOU AVE,San Francisco,CA,94124, -122.40333896099997,37.7412986
0017027-01-001,LIGURIA BAKERY,1700 STOCKTON ST,San Francisco,CA,94133, -122.40934600599996,37.801487070000064
0017037-01-999,LILLI ANN CORP,1010 B ST SAN RAFAEL 209,SAN RAFAEL,CA,94901, -122.52940570499999,37.97342595
